Feature,Importance mean,Importance SD
RIDAGEYR,0.0925566175659274,0.0106651189380654
UACR_MG_G,0.057319366287837,0.0034858895284722
LBXSAL,0.0314837610491988,0.0032119373351201
WAIST_CM,0.0310466204163448,0.0015697097699759
LBXSBU,0.0232783900045361,0.0023764219024121
LBXSGL,0.0175405073436561,0.0018133128184308
RIDRETH1,0.0170122031581399,0.0016610593160827
CRP_MG_DL,0.0135917596883543,0.0016396313543342
BMI,0.0128118985006191,0.0012829658123336
MEAN_SBP,0.0117336055022251,0.0014801076758554
HEMOGLOBIN,0.0106852916927188,0.0015400650272744
MEAN_DBP,0.0099140124069782,0.0010673282253958
SMOKING_STATUS,0.0094580988635109,0.0016507930626355
CREATININE_CALIBRATED,0.0082763632964311,0.0009579033095085
RIAGENDR,0.0023090680054433,0.0003615367464389
DIAGNOSED_DIABETES,0.0005577853175916,0.0002138653966694
DIAGNOSED_HYPERTENSION,0.000411165054495,0.0001341680332254
ANY_CVD,-2.9883408731490312e-05,1.8794009485188205e-05
