Model,Metric,Estimate,Lower 95% CI,Upper 95% CI
Logistic regression,AUROC,0.7573045778317211,0.7314965756945107,0.782440242706539
Logistic regression,AUPRC,0.22834259042781999,0.19503526183444755,0.27152933337852314
Logistic regression,Brier score,0.1770513376567871,0.17044201435439388,0.18351404467176075
Elastic net,AUROC,0.7248672870155822,0.6972493344574603,0.751084247390607
Elastic net,AUPRC,0.17206747285467247,0.1479989948740834,0.1988252437017458
Elastic net,Brier score,0.2151428080543091,0.20621563254972766,0.22389600119968323
Random forest,AUROC,0.7799094609339561,0.7563173984280553,0.8024297606633508
Random forest,AUPRC,0.2265150241467645,0.19658599037928778,0.2673054866427429
Random forest,Brier score,0.13260669864542338,0.12873733728715545,0.1363804669862261
XGBoost,AUROC,0.7940358846101977,0.7716447804731724,0.815864681059856
XGBoost,AUPRC,0.24289607513847397,0.20925723227747198,0.2853820625000512
XGBoost,Brier score,0.0686409111560912,0.062316046372739145,0.07497330398494381
