Characteristic,Overall,No discordance,Discordance
"Age, years",60.8 (17.8),59.8 (17.8),72.0 (12.4)
"Serum creatinine, mg/dL",1.0 (0.6),1.0 (0.6),1.2 (0.8)
"Blood urea nitrogen, mg/dL",16.2 (7.0),15.8 (6.5),20.9 (10.5)
"Serum albumin, g/dL",4.3 (0.3),4.3 (0.3),4.1 (0.4)
"Glucose, mg/dL",102.8 (39.7),102.6 (39.6),105.0 (41.3)
"Body mass index, kg/m²",28.3 (6.0),28.3 (5.9),29.2 (7.6)
"Waist circumference, cm",98.5 (14.7),98.2 (14.4),102.5 (17.2)
"Mean systolic blood pressure, mm Hg",134.3 (23.1),133.8 (23.0),140.2 (23.4)
"Hemoglobin, g/dL",14.3 (1.5),14.3 (1.5),14.0 (1.7)
"C-reactive protein, mg/dL",0.26 (0.11-0.55),0.25 (0.10-0.54),0.39 (0.20-0.82)
"Urine albumin-to-creatinine ratio, mg/g",8.22 (4.78-19.83),7.84 (4.65-17.90),17.94 (7.78-67.11)
Female sex,2012 (48.4%),1849 (48.5%),163 (47.7%)
Diagnosed diabetes,578 (14.2%),509 (13.6%),69 (20.8%)
Diagnosed hypertension,1737 (42.0%),1546 (40.7%),191 (56.0%)
Any cardiovascular disease,730 (17.7%),616 (16.3%),114 (33.7%)
Race/ethnicity: Mexican American,887 (21.3%),821 (21.5%),66 (19.3%)
Race/ethnicity: Other Hispanic,175 (4.2%),163 (4.3%),12 (3.5%)
Race/ethnicity: Non-Hispanic White,2262 (54.4%),2027 (53.1%),235 (68.7%)
Race/ethnicity: Non-Hispanic Black,730 (17.6%),705 (18.5%),25 (7.3%)
Race/ethnicity: Other/multiracial,104 (2.5%),100 (2.6%),4 (1.2%)
