Decile,N,Mean_predicted_risk,Observed_prevalence
"(-0.0005610000000000001, 0.0032]",416,0.0019374373095755,0.0120192307692307
"(0.0032, 0.00736]",416,0.005098417884969,0.0048076923076923
"(0.00736, 0.0143]",416,0.0106278596906542,0.0192307692307692
"(0.0143, 0.0238]",415,0.0188426256181492,0.016867469879518
"(0.0238, 0.0372]",416,0.0299600434352984,0.0528846153846153
"(0.0372, 0.0578]",416,0.0467319805723561,0.0528846153846153
"(0.0578, 0.0844]",415,0.0701183879642511,0.0771084337349397
"(0.0844, 0.121]",416,0.1012102412373329,0.1225961538461538
"(0.121, 0.194]",416,0.1525114452251448,0.1826923076923076
"(0.194, 0.794]",416,0.2928622059461374,0.28125
